ioc_type,ioc_value,threat_name,threat_type,severity,confidence,first_seen,last_seen,mitre_attack,tags,source,description
domain,indonesia.cysecglobal.com,Indonesia Cybersecurity Assessment 2026 - Regional Threat Landscape,unknown,medium,medium,2026-03-13,2026-03-13,T1021|T1027|T1041|T1059.001|T1068|T1069|T1078|T1082|T1087|T1098|T1190|T1213|T1486|T1555|T1566,indonesia-cybersecurity-assessment-2026---regional-threat-landscape,Indonesia-Cybersecurity-Assessment-2026,
domain,indosecsummit.com,Indonesia Cybersecurity Assessment 2026 - Regional Threat Landscape,unknown,medium,medium,2026-03-13,2026-03-13,T1021|T1027|T1041|T1059.001|T1068|T1069|T1078|T1082|T1087|T1098|T1190|T1213|T1486|T1555|T1566,indonesia-cybersecurity-assessment-2026---regional-threat-landscape,Indonesia-Cybersecurity-Assessment-2026,
url,https://indosecsummit.com/,Indonesia Cybersecurity Assessment 2026 - Regional Threat Landscape,unknown,medium,medium,2026-03-13,2026-03-13,T1021|T1027|T1041|T1059.001|T1068|T1069|T1078|T1082|T1087|T1098|T1190|T1213|T1486|T1555|T1566,indonesia-cybersecurity-assessment-2026---regional-threat-landscape,Indonesia-Cybersecurity-Assessment-2026,
url,https://indonesia.cysecglobal.com/,Indonesia Cybersecurity Assessment 2026 - Regional Threat Landscape,unknown,medium,medium,2026-03-13,2026-03-13,T1021|T1027|T1041|T1059.001|T1068|T1069|T1078|T1082|T1087|T1098|T1190|T1213|T1486|T1555|T1566,indonesia-cybersecurity-assessment-2026---regional-threat-landscape,Indonesia-Cybersecurity-Assessment-2026,
cve,CVE-2026-26110,Indonesia Cybersecurity Assessment 2026 - Regional Threat Landscape,unknown,medium,medium,2026-03-13,2026-03-13,T1021|T1027|T1041|T1059.001|T1068|T1069|T1078|T1082|T1087|T1098|T1190|T1213|T1486|T1555|T1566,indonesia-cybersecurity-assessment-2026---regional-threat-landscape,Indonesia-Cybersecurity-Assessment-2026,
cve,CVE-2026-21385,Indonesia Cybersecurity Assessment 2026 - Regional Threat Landscape,unknown,medium,medium,2026-03-13,2026-03-13,T1021|T1027|T1041|T1059.001|T1068|T1069|T1078|T1082|T1087|T1098|T1190|T1213|T1486|T1555|T1566,indonesia-cybersecurity-assessment-2026---regional-threat-landscape,Indonesia-Cybersecurity-Assessment-2026,
cve,CVE-2026-21536,Indonesia Cybersecurity Assessment 2026 - Regional Threat Landscape,unknown,medium,medium,2026-03-13,2026-03-13,T1021|T1027|T1041|T1059.001|T1068|T1069|T1078|T1082|T1087|T1098|T1190|T1213|T1486|T1555|T1566,indonesia-cybersecurity-assessment-2026---regional-threat-landscape,Indonesia-Cybersecurity-Assessment-2026,
filename,indosecsummit.com,Indonesia Cybersecurity Assessment 2026 - Regional Threat Landscape,unknown,medium,medium,2026-03-13,2026-03-13,T1021|T1027|T1041|T1059.001|T1068|T1069|T1078|T1082|T1087|T1098|T1190|T1213|T1486|T1555|T1566,indonesia-cybersecurity-assessment-2026---regional-threat-landscape,Indonesia-Cybersecurity-Assessment-2026,
filename,cysecglobal.com,Indonesia Cybersecurity Assessment 2026 - Regional Threat Landscape,unknown,medium,medium,2026-03-13,2026-03-13,T1021|T1027|T1041|T1059.001|T1068|T1069|T1078|T1082|T1087|T1098|T1190|T1213|T1486|T1555|T1566,indonesia-cybersecurity-assessment-2026---regional-threat-landscape,Indonesia-Cybersecurity-Assessment-2026,
domain,triage.json,Malware Analysis Skill,unknown,medium,medium,2026-03-13,2026-03-13,,malware-analysis-skill,SKILL,
domain,static.json,Malware Analysis Skill,unknown,medium,medium,2026-03-13,2026-03-13,,malware-analysis-skill,SKILL,
domain,triage.py,Malware Analysis Skill,unknown,medium,medium,2026-03-13,2026-03-13,,malware-analysis-skill,SKILL,
domain,iocs.json,Malware Analysis Skill,unknown,medium,medium,2026-03-13,2026-03-13,,malware-analysis-skill,SKILL,
hash-md5,e3b0c44298fc1c149afbf4c8996fb924,Check for requests library,unknown,medium,medium,2026-03-13,2026-03-13,,"'.join(source['tags'][:5])}"");'.join(summary['tags'][:10])}"");check-for-requests-library;limit: int = 10) -> dict:;str;{'",triage,
hash-md5,44d88612fea8a8f36de82e1278abb02f,Check for requests library,unknown,medium,medium,2026-03-13,2026-03-13,,"'.join(source['tags'][:5])}"");'.join(summary['tags'][:10])}"");check-for-requests-library;limit: int = 10) -> dict:;str;{'",triage,
ipv4,45.33.32.156,Check for requests library,unknown,medium,medium,2026-03-13,2026-03-13,,"'.join(source['tags'][:5])}"");'.join(summary['tags'][:10])}"");check-for-requests-library;limit: int = 10) -> dict:;str;{'",triage,
domain,auth.abuse.ch,Check for requests library,unknown,medium,medium,2026-03-13,2026-03-13,,"'.join(source['tags'][:5])}"");'.join(summary['tags'][:10])}"");check-for-requests-library;limit: int = 10) -> dict:;str;{'",triage,
domain,result.get,Check for requests library,unknown,medium,medium,2026-03-13,2026-03-13,,"'.join(source['tags'][:5])}"");'.join(summary['tags'][:10])}"");check-for-requests-library;limit: int = 10) -> dict:;str;{'",triage,
domain,self.session.request,Check for requests library,unknown,medium,medium,2026-03-13,2026-03-13,,"'.join(source['tags'][:5])}"");'.join(summary['tags'][:10])}"");check-for-requests-library;limit: int = 10) -> dict:;str;{'",triage,
domain,re.ignorecase,Check for requests library,unknown,medium,medium,2026-03-13,2026-03-13,,"'.join(source['tags'][:5])}"");'.join(summary['tags'][:10])}"");check-for-requests-library;limit: int = 10) -> dict:;str;{'",triage,
domain,ioc.startswith,Check for requests library,unknown,medium,medium,2026-03-13,2026-03-13,,"'.join(source['tags'][:5])}"");'.join(summary['tags'][:10])}"");check-for-requests-library;limit: int = 10) -> dict:;str;{'",triage,
domain,args.type,Check for requests library,unknown,medium,medium,2026-03-13,2026-03-13,,"'.join(source['tags'][:5])}"");'.join(summary['tags'][:10])}"");check-for-requests-library;limit: int = 10) -> dict:;str;{'",triage,
domain,www.virustotal.com,Check for requests library,unknown,medium,medium,2026-03-13,2026-03-13,,"'.join(source['tags'][:5])}"");'.join(summary['tags'][:10])}"");check-for-requests-library;limit: int = 10) -> dict:;str;{'",triage,
domain,resp.text,Check for requests library,unknown,medium,medium,2026-03-13,2026-03-13,,"'.join(source['tags'][:5])}"");'.join(summary['tags'][:10])}"");check-for-requests-library;limit: int = 10) -> dict:;str;{'",triage,
domain,stats.values,Check for requests library,unknown,medium,medium,2026-03-13,2026-03-13,,"'.join(source['tags'][:5])}"");'.join(summary['tags'][:10])}"");check-for-requests-library;limit: int = 10) -> dict:;str;{'",triage,
domain,requests.exceptions.requestexception,Check for requests library,unknown,medium,medium,2026-03-13,2026-03-13,,"'.join(source['tags'][:5])}"");'.join(summary['tags'][:10])}"");check-for-requests-library;limit: int = 10) -> dict:;str;{'",triage,
domain,data.get,Check for requests library,unknown,medium,medium,2026-03-13,2026-03-13,,"'.join(source['tags'][:5])}"");'.join(summary['tags'][:10])}"");check-for-requests-library;limit: int = 10) -> dict:;str;{'",triage,
domain,argparse.rawdescriptionhelpformatter,Check for requests library,unknown,medium,medium,2026-03-13,2026-03-13,,"'.join(source['tags'][:5])}"");'.join(summary['tags'][:10])}"");check-for-requests-library;limit: int = 10) -> dict:;str;{'",triage,
domain,self.threatfox,Check for requests library,unknown,medium,medium,2026-03-13,2026-03-13,,"'.join(source['tags'][:5])}"");'.join(summary['tags'][:10])}"");check-for-requests-library;limit: int = 10) -> dict:;str;{'",triage,
domain,self.urlhaus,Check for requests library,unknown,medium,medium,2026-03-13,2026-03-13,,"'.join(source['tags'][:5])}"");'.join(summary['tags'][:10])}"");check-for-requests-library;limit: int = 10) -> dict:;str;{'",triage,
domain,verdict.upper,Check for requests library,unknown,medium,medium,2026-03-13,2026-03-13,,"'.join(source['tags'][:5])}"");'.join(summary['tags'][:10])}"");check-for-requests-library;limit: int = 10) -> dict:;str;{'",triage,
domain,www.abuseipdb.com,Check for requests library,unknown,medium,medium,2026-03-13,2026-03-13,,"'.join(source['tags'][:5])}"");'.join(summary['tags'][:10])}"");check-for-requests-library;limit: int = 10) -> dict:;str;{'",triage,
domain,malware-triage.json,Check for requests library,unknown,medium,medium,2026-03-13,2026-03-13,,"'.join(source['tags'][:5])}"");'.join(summary['tags'][:10])}"");check-for-requests-library;limit: int = 10) -> dict:;str;{'",triage,
domain,api.abuseipdb.com,Check for requests library,unknown,medium,medium,2026-03-13,2026-03-13,,"'.join(source['tags'][:5])}"");'.join(summary['tags'][:10])}"");check-for-requests-library;limit: int = 10) -> dict:;str;{'",triage,
domain,iocs.append,Check for requests library,unknown,medium,medium,2026-03-13,2026-03-13,,"'.join(source['tags'][:5])}"");'.join(summary['tags'][:10])}"");check-for-requests-library;limit: int = 10) -> dict:;str;{'",triage,
domain,attrs.get,Check for requests library,unknown,medium,medium,2026-03-13,2026-03-13,,"'.join(source['tags'][:5])}"");'.join(summary['tags'][:10])}"");check-for-requests-library;limit: int = 10) -> dict:;str;{'",triage,
domain,iocs.txt,Check for requests library,unknown,medium,medium,2026-03-13,2026-03-13,,"'.join(source['tags'][:5])}"");'.join(summary['tags'][:10])}"");check-for-requests-library;limit: int = 10) -> dict:;str;{'",triage,
domain,os.environ.get,Check for requests library,unknown,medium,medium,2026-03-13,2026-03-13,,"'.join(source['tags'][:5])}"");'.join(summary['tags'][:10])}"");check-for-requests-library;limit: int = 10) -> dict:;str;{'",triage,
domain,path.exists,Check for requests library,unknown,medium,medium,2026-03-13,2026-03-13,,"'.join(source['tags'][:5])}"");'.join(summary['tags'][:10])}"");check-for-requests-library;limit: int = 10) -> dict:;str;{'",triage,
domain,samples.append,Check for requests library,unknown,medium,medium,2026-03-13,2026-03-13,,"'.join(source['tags'][:5])}"");'.join(summary['tags'][:10])}"");check-for-requests-library;limit: int = 10) -> dict:;str;{'",triage,
domain,timezone.utc,Check for requests library,unknown,medium,medium,2026-03-13,2026-03-13,,"'.join(source['tags'][:5])}"");'.join(summary['tags'][:10])}"");check-for-requests-library;limit: int = 10) -> dict:;str;{'",triage,
domain,urllib.parse,Check for requests library,unknown,medium,medium,2026-03-13,2026-03-13,,"'.join(source['tags'][:5])}"");'.join(summary['tags'][:10])}"");check-for-requests-library;limit: int = 10) -> dict:;str;{'",triage,
domain,self.abuseipdb,Check for requests library,unknown,medium,medium,2026-03-13,2026-03-13,,"'.join(source['tags'][:5])}"");'.join(summary['tags'][:10])}"");check-for-requests-library;limit: int = 10) -> dict:;str;{'",triage,
domain,time.sleep,Check for requests library,unknown,medium,medium,2026-03-13,2026-03-13,,"'.join(source['tags'][:5])}"");'.join(summary['tags'][:10])}"");check-for-requests-library;limit: int = 10) -> dict:;str;{'",triage,
domain,tags.update,Check for requests library,unknown,medium,medium,2026-03-13,2026-03-13,,"'.join(source['tags'][:5])}"");'.join(summary['tags'][:10])}"");check-for-requests-library;limit: int = 10) -> dict:;str;{'",triage,
domain,path.home,Check for requests library,unknown,medium,medium,2026-03-13,2026-03-13,,"'.join(source['tags'][:5])}"");'.join(summary['tags'][:10])}"");check-for-requests-library;limit: int = 10) -> dict:;str;{'",triage,
domain,p.exists,Check for requests library,unknown,medium,medium,2026-03-13,2026-03-13,,"'.join(source['tags'][:5])}"");'.join(summary['tags'][:10])}"");check-for-requests-library;limit: int = 10) -> dict:;str;{'",triage,
domain,json.jsondecodeerror,Check for requests library,unknown,medium,medium,2026-03-13,2026-03-13,,"'.join(source['tags'][:5])}"");'.join(summary['tags'][:10])}"");check-for-requests-library;limit: int = 10) -> dict:;str;{'",triage,
domain,json.load,Check for requests library,unknown,medium,medium,2026-03-13,2026-03-13,,"'.join(source['tags'][:5])}"");'.join(summary['tags'][:10])}"");check-for-requests-library;limit: int = 10) -> dict:;str;{'",triage,
domain,args.output,Check for requests library,unknown,medium,medium,2026-03-13,2026-03-13,,"'.join(source['tags'][:5])}"");'.join(summary['tags'][:10])}"");check-for-requests-library;limit: int = 10) -> dict:;str;{'",triage,
domain,source.get,Check for requests library,unknown,medium,medium,2026-03-13,2026-03-13,,"'.join(source['tags'][:5])}"");'.join(summary['tags'][:10])}"");check-for-requests-library;limit: int = 10) -> dict:;str;{'",triage,
domain,mb-api.abuse.ch,Check for requests library,unknown,medium,medium,2026-03-13,2026-03-13,,"'.join(source['tags'][:5])}"");'.join(summary['tags'][:10])}"");check-for-requests-library;limit: int = 10) -> dict:;str;{'",triage,
domain,evil.com,Check for requests library,unknown,medium,medium,2026-03-13,2026-03-13,,"'.join(source['tags'][:5])}"");'.join(summary['tags'][:10])}"");check-for-requests-library;limit: int = 10) -> dict:;str;{'",triage,
